"","Dendritic_quanTIseq","NK_quanTIseq","T.CD8_quanTIseq","Tregs_quanTIseq","Mouse_treatment","Condition","Timepoint","GSM_ID","Cell_Line"
"SRX5100790",0.03832701,0.016066752,0.005776184,0.005080776,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554883","T11"
"SRX5100789",0.059149656,0.01772211,0.00767779,0.005653966,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554884","T11"
"SRX5100788",0.028000908,0.014333088,0.00426594,0.003993662,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554885","T11"
"SRX5100787",0.050314608,0.015426648,0.006714424,0.005569002,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554886","T11"
"SRX5100794",0.028929372,0.012975012,0.0006417034,0.003792856,"no_treatment","UV_day7","day7","GSM3554887","T11"
"SRX5100793",0.033457344,0.014224296,0,0.005058482,"no_treatment","UV_day7","day7","GSM3554888","T11"
"SRX5100688",0.031333362,0.015112878,0,0.004708926,"no_treatment","UV_day7","day7","GSM3554889","T11"
"SRX5100681",0.028270908,0.014391738,9.392614e-05,0.00616126,"antiPD1; antiCTLA4;","UV_end","end","GSM3554890","T11"
"SRX5100710",0.030001548,0.013947072,0,0.004653536,"no_treatment","UV_day7","day7","GSM3554891","T11"
"SRX5100624",0.035638002,0.015342678,0,0.00486253,"antiPD1; antiCTLA4;","day7","day7","GSM3554892","T11"
"SRX5100625",0.025436718,0.011372934,0,0.003816588,"antiPD1; antiCTLA4;","day7","day7","GSM3554893","T11"
"SRX5100626",0.031670382,0.01506186,0,0.005348154,"antiPD1; antiCTLA4;","day7","day7","GSM3554894","T11"
"SRX5100627",0.035566464,0.015145758,0,0.00545733,"antiPD1; antiCTLA4;","day7","day7","GSM3554895","T11"
"SRX5100628",0.03199338,0.013633902,0,0.005253568,"no_treatment","day7","day7","GSM3554896","T11"
"SRX5100660",0.031540218,0.014421396,0,0.004932554,"no_treatment","day7","day7","GSM3554897","T11"
"SRX5100659",0.032424006,0.014498112,0,0.005277364,"no_treatment","day7","day7","GSM3554898","T11"
"SRX5100658",0.029806854,0.013786932,0,0.004289056,"no_treatment","day7","day7","GSM3554899","T11"
"SRX5100657",0.037598016,0.021141678,0.008223552,0.006177436,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554900","T11"
"SRX5100656",0.045750024,0.01216539,0.016167826,0.005689636,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554901","T11"
"SRX5100655",0.021530946,0.0076755,0.0015280282,0.002617418,"no_treatment","Apobec_day7","day7","GSM3554902","T11"
"SRX5100654",0.054601704,0.02036439,0.006688686,0.011280428,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554903","T11"
"SRX5100653",0.021348846,0.007599726,0.0005078994,0.0028456,"no_treatment","Apobec_day7","day7","GSM3554904","T11"
"SRX5100652",0.018239298,0.007432368,0.0010417714,0.002620388,"no_treatment","Apobec_day7","day7","GSM3554905","T11"
"SRX5100651",0.059098002,0.018844422,0.00832317,0.005316004,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554906","T11"
"SRX5100848",0.025400628,0.008041674,0.0005720588,0.003064858,"no_treatment","Apobec_day7","day7","GSM3554907","T11"
"SRX5100849",0.019382706,0.009847398,0,0.003237688,"antiPD1; antiCTLA4;","end","end","GSM3554908","T11"
"SRX5100846",0.033792282,0.01495812,0.0004268988,0.005070408,"antiPD1; antiCTLA4;","end","end","GSM3554909","T11"
"SRX5100847",0.025263774,0.011641188,0.0003282092,0.00388368,"antiPD1; antiCTLA4;","end","end","GSM3554910","T11"
"SRX5100844",0.029854584,0.013467096,0,0.005352422,"no_treatment","UV_day3","day3","GSM3554911","T11"
"SRX5100845",0.029796816,0.012856572,0,0.004527178,"no_treatment","UV_day3","day3","GSM3554912","T11"
"SRX5100842",0.030162402,0.012683244,0,0.005208736,"no_treatment","UV_day3","day3","GSM3554913","T11"
"SRX5100843",0.030474732,0.01380522,0,0.004160866,"no_treatment","UV_day3","day3","GSM3554914","T11"
"SRX5100850",0.015309258,0.007714074,0.000555885,0.0019993746,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554915","T11"
"SRX5100851",0.032122638,0.012955584,0,0.005430208,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554916","T11"
"SRX5100601",0.027660072,0.011352402,0.0013704004,0.003442472,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554917","T11"
"SRX5100600",0.029999328,0.012144678,0.0004529314,0.00552258,"antiPD1; antiCTLA4;","UV_end","end","GSM3554918","T11"
"SRX5100603",0.036522942,0.015832164,0.000924242,0.006054938,"antiPD1; antiCTLA4;","UV_end","end","GSM3554919","T11"
"SRX5100602",0.033371706,0.015126558,0,0.004322188,"antiPD1; antiCTLA4;","UV_end","end","GSM3554920","T11"
"SRX5100768",0.027182574,0.011985,0,0.00401243,"no_treatment","end","end","GSM3554921","T11"
"SRX5100769",0.027417222,0.01221894,0,0.004079096,"no_treatment","end","end","GSM3554922","T11"
"SRX5100762",0.026296956,0.0114987,0,0.00383359,"no_treatment","end","end","GSM3554923","T11"
"SRX5100763",0.032663148,0.014302128,0,0.005171634,"no_treatment","day3","day3","GSM3554924","T11"
"SRX5100764",0.02735892,0.01200714,0,0.004051178,"no_treatment","day3","day3","GSM3554925","T11"
"SRX5100765",0.028008834,0.013482552,0,0.004950832,"no_treatment","day3","day3","GSM3554926","T11"
"SRX5100758",0.027452058,0.013435998,0,0.004938924,"no_treatment","day3","day3","GSM3554927","T11"
"SRX5100759",0.032560866,0.013324182,0.0002431386,0.005915904,"antiPD1; antiCTLA4;","day3","day3","GSM3554928","T11"
"SRX5100810",0.026870568,0.011101152,0,0.00425852,"antiPD1; antiCTLA4;","day3","day3","GSM3554929","T11"
"SRX5100809",0.042670122,0.01543692,0.0007099598,0.005132436,"antiPD1; antiCTLA4;","day3","day3","GSM3554930","T11"
"SRX5100808",0.020835138,0.00977199,0,0.004099942,"antiPD1; antiCTLA4;","day3","day3","GSM3554931","T11"
"SRX5100807",0.03207612,0.012687294,0,0.004420012,"antiPD1; antiCTLA4;","end","end","GSM3554932","T11"
"SRX5100814",0.027447528,0.011237598,0,0.004635536,"antiPD1; antiCTLA4;","end","end","GSM3554933","T11"
"SRX5100813",0.021778716,0.00910281,0,0.00338682,"no_treatment","end","end","GSM3554934","T11"
"SRX5100812",0.029556798,0.013101198,0.0004069564,0.005049472,"no_treatment","end","end","GSM3554935","T11"
"SRX5100684",0.021778626,0.00957261,0.0002142046,0.004180588,"antiPD1; antiCTLA4;","UV_end","end","GSM3554936","T11"
